# it, index, xp, yp, rhopswarm, aps
5.906438999999999773e+00,1.000000000000000000e+00,9.984979999999999967e-01,1.694237999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.007577000000000389e+00,1.000000000000000000e+00,9.984450000000000269e-01,1.689159000000000077e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.108713999999999977e+00,1.000000000000000000e+00,9.983910000000000284e-01,1.684080000000000021e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.209851999999999705e+00,1.000000000000000000e+00,9.983360000000000012e-01,1.678998999999999908e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.310990000000000322e+00,1.000000000000000000e+00,9.982799999999999452e-01,1.673918000000000017e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.412126999999999910e+00,1.000000000000000000e+00,9.982240000000000002e-01,1.668835000000000068e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.513264999999999638e+00,1.000000000000000000e+00,9.981659999999999977e-01,1.663753000000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.614403000000000254e+00,1.000000000000000000e+00,9.981069999999999665e-01,1.658668999999999949e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.715539999999999843e+00,1.000000000000000000e+00,9.980470000000000175e-01,1.653583999999999943e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.816677999999999571e+00,1.000000000000000000e+00,9.979869999999999575e-01,1.648498999999999937e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.917816000000000187e+00,1.000000000000000000e+00,9.979249999999999510e-01,1.643413000000000013e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.018952999999999776e+00,1.000000000000000000e+00,9.978620000000000267e-01,1.638325999999999949e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.120091000000000392e+00,1.000000000000000000e+00,9.977979999999999627e-01,1.633237999999999968e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.201000999999999763e+00,1.000000000000000000e+00,9.977470000000000505e-01,1.629167000000000032e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.302139000000000379e+00,1.000000000000000000e+00,9.976810000000000400e-01,1.624077999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.403275999999999968e+00,1.000000000000000000e+00,9.976150000000000295e-01,1.618986999999999954e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.504413999999999696e+00,1.000000000000000000e+00,9.975469999999999615e-01,1.613895999999999997e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.605552000000000312e+00,1.000000000000000000e+00,9.974779999999999758e-01,1.608803999999999901e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.706688999999999901e+00,1.000000000000000000e+00,9.974089999999999900e-01,1.603711000000000109e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.807826999999999629e+00,1.000000000000000000e+00,9.973379999999999468e-01,1.598616999999999955e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.908965000000000245e+00,1.000000000000000000e+00,9.972659999999999858e-01,1.593522000000000105e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.010101999999999833e+00,1.000000000000000000e+00,9.971940000000000248e-01,1.588425999999999894e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.111240000000000450e+00,1.000000000000000000e+00,9.971200000000000063e-01,1.583329999999999904e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.212377999999999290e+00,1.000000000000000000e+00,9.970449999999999591e-01,1.578232000000000079e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.313515000000000654e+00,1.000000000000000000e+00,9.969689999999999941e-01,1.573132999999999893e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.414652999999999494e+00,1.000000000000000000e+00,9.968920000000000003e-01,1.568033000000000010e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.515790000000000859e+00,1.000000000000000000e+00,9.968139999999999779e-01,1.562931999999999988e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.616927999999999699e+00,1.000000000000000000e+00,9.967350000000000376e-01,1.557830999999999966e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.718066000000000315e+00,1.000000000000000000e+00,9.966549999999999576e-01,1.552728000000000108e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.819202999999999903e+00,1.000000000000000000e+00,9.965730000000000421e-01,1.547624000000000111e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.900114000000000303e+00,1.000000000000000000e+00,9.965079999999999494e-01,1.543539999999999912e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.001250999999999891e+00,1.000000000000000000e+00,9.964239999999999764e-01,1.538434000000000079e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.102389000000000507e+00,1.000000000000000000e+00,9.963400000000000034e-01,1.533327000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.203526999999999347e+00,1.000000000000000000e+00,9.962550000000000017e-01,1.528218999999999994e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.304664000000000712e+00,1.000000000000000000e+00,9.961680000000000534e-01,1.523109999999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.405801999999999552e+00,1.000000000000000000e+00,9.960809999999999942e-01,1.518000000000000016e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.506938999999999140e+00,1.000000000000000000e+00,9.959919999999999884e-01,1.512888000000000011e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.608076999999999757e+00,1.000000000000000000e+00,9.959019999999999539e-01,1.507776000000000005e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.709215000000000373e+00,1.000000000000000000e+00,9.958110000000000017e-01,1.502661999999999942e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.810351999999999961e+00,1.000000000000000000e+00,9.957190000000000207e-01,1.497546999999999962e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.911490000000000578e+00,1.000000000000000000e+00,9.956249999999999822e-01,1.492431000000000063e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.001262799999999942e+01,1.000000000000000000e+00,9.955310000000000548e-01,1.487314000000000025e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.011376500000000078e+01,1.000000000000000000e+00,9.954349999999999588e-01,1.482196000000000069e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.021490299999999962e+01,1.000000000000000000e+00,9.953389999999999738e-01,1.477076000000000056e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.031604100000000024e+01,1.000000000000000000e+00,9.952410000000000423e-01,1.471954999999999902e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.041717799999999983e+01,1.000000000000000000e+00,9.951419999999999710e-01,1.466833000000000053e+00,0.000000000000000000e+00,0.000000000000000000e+00
