# t, l_px[0], l_py[0], l_vx[0], l_vy[0], l_px[1], l_py[1], l_vx[1], l_vy[1], l_aps[0], l_aps[1]
1.310743996672212930e+01,5.637451142000543486e-17,-1.261845633087444649e-17,1.177007811640794538e-17,-3.721791569751569671e-18,9.840912374196132406e-01,1.325525974382944172e+00,-2.645669885962557023e-03,-5.204682920546722241e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.363335576785604175e+01,6.283411562146982370e-17,-1.442781883988128243e-17,1.278181592528132830e-17,-3.232005202739167099e-18,9.826619470645542309e-01,1.298111012841713485e+00,-2.790575719085562796e-03,-5.221026013610240851e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.415927156898995420e+01,6.972271502011200255e-17,-1.624664491314406843e-17,1.324967155944243078e-17,-3.481723147472649813e-18,9.811551441776414917e-01,1.270608522223899861e+00,-2.940487367979771529e-03,-5.237968406790257520e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.468518737012386666e+01,7.656973388330454175e-17,-1.806088115774271043e-17,1.261163343835522549e-17,-3.517397139577437240e-18,9.795681233098102458e-01,1.243015363989038002e+00,-3.095682717234004601e-03,-5.255505097077549370e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.521110317125777911e+01,8.311242817893621003e-17,-2.000069890001788986e-17,1.226951400587492005e-17,-3.859516572057752693e-18,9.778980300402554393e-01,1.215328427708437964e+00,-3.256453496807712455e-03,-5.273629782556357726e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.573701897239169156e+01,8.944236972063865103e-17,-2.209855816536753349e-17,1.172124568459236773e-17,-4.064203412003243311e-18,9.761418502279124443e-01,1.187544644600738719e+00,-3.423113597830612902e-03,-5.292333326124876169e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.626293477352562533e+01,9.551305691954915924e-17,-2.416111833604247563e-17,1.134082057206510357e-17,-3.639039604459335225e-18,9.742964019486789473e-01,1.159660994586314331e+00,-3.595986179541135232e-03,-5.311606574352668170e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.678885057465958397e+01,1.013720323565986335e-16,-2.619980666588175948e-17,1.082033117906087717e-17,-4.273568808290328559e-18,9.723583312382264587e-01,1.131674504757551381e+00,-3.775402416181543406e-03,-5.331440746759004423e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.731476637579354261e+01,1.067705817336852212e-16,-2.874722072175527529e-17,1.008287373571444142e-17,-5.413966916558013354e-18,9.703241075812525374e-01,1.103582247888837076e+00,-3.961703628255788985e-03,-5.351826913853133943e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.784068217692750125e+01,1.120765892818038609e-16,-3.189874140190773040e-17,1.014954316358239776e-17,-6.643257595316307374e-18,9.681900154110854029e-01,1.075381353358703773e+00,-4.155254064233815034e-03,-5.372751921409897602e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.832614291643577076e+01,1.170760956425827079e-16,-3.547279839663328421e-17,1.037645314615053278e-17,-7.939217701942570831e-18,9.661280633561639686e-01,1.049250916819868262e+00,-4.340680316014441584e-03,-5.392532509936202173e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.885205871756972940e+01,1.226016105636182806e-16,-3.982329352073873323e-17,1.052119598296913202e-17,-8.399763091819899683e-18,9.637907436882460210e-01,1.020833318616833463e+00,-4.549255322260058361e-03,-5.414451623558230037e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.937797451870368803e+01,1.281451772334720302e-16,-4.425109413536002958e-17,1.092413664789038106e-17,-8.718489742592138750e-18,9.613415403828526884e-01,9.922991344708602668e-01,-4.766230217135012867e-03,-5.436866478898972482e-02,1.000000000000000056e-01,0.000000000000000000e+00
1.990389031983764667e+01,1.340070035692536792e-16,-4.910042556085222503e-17,1.145836930014809325e-17,-9.855671343374965921e-18,9.587759257352248543e-01,9.636457997656897589e-01,-4.992027012991096489e-03,-5.459759656545411233e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.042980612097160531e+01,1.402786613845947358e-16,-5.476300838067997192e-17,1.228004075764353590e-17,-1.153848957749818876e-17,9.560891445836469105e-01,9.348708596590981079e-01,-5.227088414508332566e-03,-5.483107670428791214e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.095572192210556395e+01,1.468836969097624204e-16,-6.118611871248229106e-17,1.288649862342487824e-17,-1.287187813485732790e-17,9.532762041476413595e-01,9.059719850471965596e-01,-5.471875250802253274e-03,-5.506886631361389284e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.148163772323952259e+01,1.538771407709053167e-16,-6.830707227251882264e-17,1.339821572328857936e-17,-1.429649854087788707e-17,9.503318643654934395e-01,8.769469716205428034e-01,-5.726867307606894018e-03,-5.531072979027445297e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.200755352437348122e+01,1.605242300097355256e-16,-7.595766603559525479e-17,1.187680768295094177e-17,-1.455001781263895071e-17,9.472506279461162526e-01,8.477937404149824552e-01,-5.992561553240933515e-03,-5.555641559632638893e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.253346932550743986e+01,1.664051135980375018e-16,-8.353689269472644659e-17,1.033990192473172318e-17,-1.421140729741483720e-17,9.440267344259455351e-01,8.185103684708703309e-01,-6.269461822358696375e-03,-5.580557825343992334e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.305938512664139850e+01,1.714335429770737251e-16,-9.089041334635307167e-17,8.986629502920737329e-18,-1.372893117468617360e-17,9.406541535711363533e-01,7.890951258635587884e-01,-6.558092885775702527e-03,-5.605784269037250578e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.358530092777535714e+01,1.759671935578979385e-16,-9.795953023317758708e-17,8.334848122580050862e-18,-1.329821158148660942e-17,9.371265718603773998e-01,7.595464800159389407e-01,-6.859007671142424920e-03,-5.631283355663650042e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.411121672890931578e+01,1.801585470195841949e-16,-1.049867708481695101e-16,7.661720828930766042e-18,-1.347716636155323442e-17,9.334373774544886260e-01,7.298630965984845842e-01,-7.172785126793749209e-03,-5.657016594235768359e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.463713253004327441e+01,1.841430979433671478e-16,-1.121761104894105785e-16,7.626339246597338342e-18,-1.383185941420162526e-17,9.295796566347022116e-01,7.000438677746794180e-01,-7.499986644083324154e-03,-5.682934518280954167e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.516304833117723305e+01,1.880376267121653810e-16,-1.195517403930302219e-16,7.154097465865970142e-18,-1.428041600345357584e-17,9.255462021314536658e-01,6.700879715132249670e-01,-7.841178591873453757e-03,-5.708980119964277011e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.568896413231119169e+01,1.916801289353720991e-16,-1.271436600577197572e-16,6.697938222558896224e-18,-1.465323846192572590e-17,9.213294985531683690e-01,6.399948886547413007e-01,-8.196967391102840533e-03,-5.735095308056712554e-02,1.000000000000000056e-01,0.000000000000000000e+00
2.621487993344515033e+01,1.950738577132005096e-16,-1.349162155051447855e-16,6.154056047846615783e-18,-1.491202110957109054e-17,9.169217003473928429e-01,6.097644085080300425e-01,-8.567999682832214137e-03,-5.761220522100018310e-02,1.000000000000000056e-01,0.000000000000000000e+00
